name, img, birth, death, length 
Darleane C. Hoffman, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Darleane_C._Hoffman_2012_CHF_Oral_History_2_crop.png/220px-Darleane_C._Hoffman_2012_CHF_Oral_History_2_crop.png, 1926-11-08, , 14261
Robert Huber, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Robert-huber.jpg/220px-Robert-huber.jpg, 1937-02-20, , 12687
August Kekulé, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Frkekul%C3%A9.jpg/220px-Frkekul%C3%A9.jpg, 1829-09-07, 1896-07-13, 16017
Norman Haworth, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Norman_Haworth.jpg/180px-Norman_Haworth.jpg, 1883-03-19, 1950-03-19, 10374
Kurt Wüthrich, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Kurt_wuethrich.jpg/220px-Kurt_wuethrich.jpg, 1938-10-04, , 10099
Jan Baptist van Helmont, http://upload.wikimedia.org/wikipedia/commons/4/40/Jan_Baptist_van_Helmont_and_his_son.jpg, 1580-01-12, 1644-12-30, 13793
Albert Hofmann, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Albert_Hofmann_Oct_1993.jpg/220px-Albert_Hofmann_Oct_1993.jpg, 1906-01-11, 2008-04-29, 14962
Emil Knoevenagel, http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Emil_Knoevenagel_HD_ca._1892.jpg/220px-Emil_Knoevenagel_HD_ca._1892.jpg, 1865-06-18, 1921-08-11, 1115
Louis Nicolas Vauquelin, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Louis_Nicolas_Vauquelin_3.jpg/230px-Louis_Nicolas_Vauquelin_3.jpg, 1763-05-16, 1829-11-14, 4849
Charles Frédéric Gerhardt, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Gerhardt_Charles.jpg/150px-Gerhardt_Charles.jpg, 1816-08-21, 1856-08-19, 6469
Irène Joliot-Curie, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ir%C3%A8ne_Joliot-Curie_Harcourt.jpg/190px-Ir%C3%A8ne_Joliot-Curie_Harcourt.jpg, 1897-09-12, 1956-03-17, 14970
Richard Willstätter, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Richard_Willst%C3%A4tter.jpg/180px-Richard_Willst%C3%A4tter.jpg, , 1942-08-03, 9817
Christopher Kelk Ingold, http://upload.wikimedia.org/wikipedia/en/thumb/6/69/Christopher_Kelk_Ingold_portrait.jpg/220px-Christopher_Kelk_Ingold_portrait.jpg, 1893-10-28, 1970-12-08, 5692
Alexander William Williamson, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Williamson_Alexander.jpg/200px-Williamson_Alexander.jpg, , 1904-05-07, 6532
Paul Lauterbur, http://upload.wikimedia.org/wikipedia/commons/a/a6/PaulLauterbur.jpg, 1929-05-06, 2007-03-27, 19746
Jan Boldingh, http://upload.wikimedia.org/wikipedia/en/0/05/JanBoldingh.jpg, 1915-01-03, 2003-08-05, 2379
Svante Arrhenius, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Arrhenius2.jpg/220px-Arrhenius2.jpg, 1859-02-19, 1927-10-02, 28911
Lawrence E. Glendenin, http://upload.wikimedia.org/wikipedia/commons/c/c5/Larry_E_Glendenin.jpg, 1918-11-08, 2008-11-22, 3947
William Standish Knowles, http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/William_Standish_Knowles.jpg/220px-William_Standish_Knowles.jpg, 1917-06-01, 2012-06-13, 9803
Irving Langmuir, http://upload.wikimedia.org/wikipedia/commons/9/96/Langmuir-sitting.jpg, 1881-01-31, 1957-08-16, 21879
