name, img, birth, death, length 
R. J. G. Savage, http://upload.wikimedia.org/wikipedia/en/thumb/a/a5/RJG_Savage_portrait.jpg/220px-RJG_Savage_portrait.jpg, 1927-07-02, 1998-05-09, 6034
Joseph Tyrrell, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/JBTyrrell.png/220px-JBTyrrell.png, 1858-11-01, 1957-08-26, 5102
Darren Naish, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Darren_Naish.jpg/220px-Darren_Naish.jpg, , , 8434
Bernard Renault, http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png, , , 3283
Mark Purnell, http://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/23px-Flag_of_England.svg.png, , , 3679
Donald Prothero, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/ProtheroPhoto1.jpg/220px-ProtheroPhoto1.jpg, 1954-02-21, , 19365
Ivan Sansom, http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, , , 2241
Richard Owen, http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Richard-owen2.jpg/250px-Richard-owen2.jpg, 1804-07-20, 1892-12-18, 39847
George William Stow, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/George_William_Stow02.jpg/220px-George_William_Stow02.jpg, 1822-02-02, 1882-03-17, 6926
Charles Mortram Sternberg, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/The_Canadian_field-naturalist_%281982%29_%2819899824613%29.jpg/220px-The_Canadian_field-naturalist_%281982%29_%2819899824613%29.jpg, , , 3201
Kaspar Maria von Sternberg, http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/KasparMariaVonSternberg.jpg/220px-KasparMariaVonSternberg.jpg, , , 3247
William Berryman Scott, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/PSM_V66_D014_Officers_of_the_paleontology_section_of_the_st_louis_congress.png/220px-PSM_V66_D014_Officers_of_the_paleontology_section_of_the_st_louis_congress.png, 1859-02-12, 1947-03-29, 6987
M. Paul Smith, http://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/23px-Flag_of_England.svg.png, , , 3311
Samuel Hubbard Scudder, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Samuel_Hubbard_Scudder_1837-1911.jpg/220px-Samuel_Hubbard_Scudder_1837-1911.jpg, 1837-04-13, 1911-05-17, 5094
Neil Shubin, http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Neil_Shubin.jpg/250px-Neil_Shubin.jpg, 1960-12-22, , 4123
