name, img, birth, death, length 
Charles-Nicolas-Sigisbert Sonnini de Manoncourt, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Charles_Sigisbert_Sonnini_AGE_1802.jpg/220px-Charles_Sigisbert_Sonnini_AGE_1802.jpg, , 1812-05-09, 1961
Frederick William FitzSimons, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/F.W._Fitzsimons1919.png/220px-F.W._Fitzsimons1919.png, 1870-08-06, 1951-03-25, 4349
Doris Mable Cochran, http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Doris_Mable_Cochran_%281898-1968%29%2C_measuring_a_turtle_shell.jpg/220px-Doris_Mable_Cochran_%281898-1968%29%2C_measuring_a_turtle_shell.jpg, 1898-05-18, 1968-05-22, 6396
Mary Cynthia Dickerson, http://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Mary_Cynthia_Dickerson.jpg/220px-Mary_Cynthia_Dickerson.jpg, 1866-03-07, 1923-04-23, 10161
Joan Beauchamp Procter, http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Joan_Beauchamp_Procter_bust.jpg/220px-Joan_Beauchamp_Procter_bust.jpg, 1897-08-05, 1931-09-20, 26181
Peter Pritchard, http://upload.wikimedia.org/wikipedia/en/thumb/4/40/Peter_Pritchard.jpg/250px-Peter_Pritchard.jpg, , , 3557
Vasco M. Tanner, http://upload.wikimedia.org/wikipedia/en/thumb/5/55/Vasco_Myron_Tanner.jpg/220px-Vasco_Myron_Tanner.jpg, 1892-10-29, 1989-04-25, 10594
Achille Valenciennes, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Achille_Valenciennes01.jpg/220px-Achille_Valenciennes01.jpg, 1794-08-09, 1865-04-13, 2123
Angus M. Woodbury, http://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Angus_Munn_Woodbury.jpg/220px-Angus_Munn_Woodbury.jpg, 1886-07-11, 1964-08-01, 6110
Prince Maximilian of Wied-Neuwied, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Maximilian_zu_Wied-Neuwied.jpg/150px-Maximilian_zu_Wied-Neuwied.jpg, 1782-09-23, 1867-02-03, 8295
Romulus Whitaker, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Mr._Romulus_Whitaker.JPG/220px-Mr._Romulus_Whitaker.JPG, 1943-05-23, , 8563
Bernard Germain de Lacépède, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/B_G_de_Lac%C3%A9p%C3%A8de.jpg/200px-B_G_de_Lac%C3%A9p%C3%A8de.jpg, , , 8840
Clodomiro Picado Twight, http://upload.wikimedia.org/wikipedia/commons/0/0e/Clodomiro_serpiente.jpg, , , 6741
Karl Eichwald, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Karl_Eduard_von_Eichwald.gif/220px-Karl_Eduard_von_Eichwald.gif, , 1876-11-11, 2488
Auguste Duméril, http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Dum%C3%A9ril_Auguste_1812-1870.png/220px-Dum%C3%A9ril_Auguste_1812-1870.png, 1812-11-30, 1870-11-12, 2765
André Marie Constant Duméril, http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Andr%C3%A9_Marie_Constant_Dum%C3%A9ril.jpg/220px-Andr%C3%A9_Marie_Constant_Dum%C3%A9ril.jpg, , 1860-08-15, 4770
Giacomo Doria, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Giacomo_Doria_%281840-1913%29.jpg/220px-Giacomo_Doria_%281840-1913%29.jpg, , 1913-09-20, 3314
Alcide d'Orbigny, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Alcide_Dessalines_d%27Orbigny_1802.jpg/200px-Alcide_Dessalines_d%27Orbigny_1802.jpg, , 1857-07-01, 8380
Malcolm L. McCallum, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Malcolm_with_rooster.jpg/225px-Malcolm_with_rooster.jpg, 1968-12-26, , 7588
François Péron, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Fran%C3%A7ois_P%C3%A9ron_-_frontispiece_from_German_translation_-_cropped.jpg/220px-Fran%C3%A7ois_P%C3%A9ron_-_frontispiece_from_German_translation_-_cropped.jpg, 1775-08-23, 1810-12-14, 12636
