name, img, birth, death, length 
Emilie Martin, http://upload.wikimedia.org/wikipedia/en/5/5b/Emilie_Norton_Martin.jpg, 1869-12-30, 1936-02-08, 2899
Kaisa Miettinen, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/20px-Flag_of_Finland.svg.png, 1965-07-25, , 8590
Winifred Edgerton Merrill, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Winifred_Edgerton_Merrill_Cyclopedia_Biography.jpg/220px-Winifred_Edgerton_Merrill_Cyclopedia_Biography.jpg, 1862-09-24, 1951-09-06, 5452
Susan Montgomery, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 1943-04-02, , 5333
Dusa McDuff, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dusa_McDuff.jpg/220px-Dusa_McDuff.jpg, 1945-10-18, , 10893
Matilde Marcolli, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Matilde_Marcolli2010.jpg/220px-Matilde_Marcolli2010.jpg, 1969-11-30, , 9606
Linda Petzold, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Linda_Petzold.jpg/220px-Linda_Petzold.jpg, , , 3289
Helena Rasiowa, http://upload.wikimedia.org/wikipedia/en/f/fd/Helena_Rasiowa.jpg, 1917-06-20, 1994-08-09, 4416
Hee Oh, http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Hee_oh.jpg/220px-Hee_oh.jpg, , , 3780
Ruth Moufang, http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Ruth_Moufang.jpg/220px-Ruth_Moufang.jpg, 1905-01-10, 1977-11-26, 2146
Gabriele Nebe, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Nebe_gabriele.jpg/220px-Nebe_gabriele.jpg, , , 1587
Linda Preiss Rothschild, http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Linda_Preiss_Rothschild.jpeg/300px-Linda_Preiss_Rothschild.jpeg, 1945-02-28, , 3491
Julia Robinson, http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Julia_Robinson_1975.jpg/200px-Julia_Robinson_1975.jpg, , , 7892
Marie-Françoise Roy, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Marie-Francoise_Roy.jpg/220px-Marie-Francoise_Roy.jpg, , , 3221
Judith Roitman, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/JudyRoitman.jpg/220px-JudyRoitman.jpg, 1945-11-12, , 4533
